Amount,Hour_of_Day,Distance_from_Home_KM,Merchant_Category,Transaction_Method,Card_Type,Recent_24h_Transactions,Risk_Score_V1,Risk_Score_V2,Is_Fraud
61.21,13.4,32.8,Gas Station,Online POS,Amex,1,1.56,-0.376,0
46.69,15.3,8.2,Grocery,Online POS,Discover,0,-1.446,-1.465,0
27.83,13.7,13.4,ATM Withdrawal,In-Person Chip,Amex,0,-0.454,1.156,0
45.64,5.2,12.7,Online Retail,In-Person Chip,Visa,0,1.229,1.661,0
41.28,16.9,33.4,Dining,Contactless Tap,Visa,3,0.361,-2.014,0
18.33,12.4,2.6,Online Retail,ATM Cash,Visa,2,2.208,-0.153,0
3.95,10.6,14.6,Travel & Airlines,Online POS,Amex,3,0.081,1.998,0
33.72,11.0,45.0,Grocery,In-Person Chip,Mastercard,1,-2.364,1.066,0
15.53,16.5,3.6,Gas Station,In-Person Chip,Visa,6,1.143,1.478,0
13.32,11.3,2.7,Gas Station,Contactless Tap,Mastercard,3,1.685,-1.661,0
15.45,21.6,1.6,Gas Station,In-Person Chip,Discover,1,0.747,-1.836,0
52.73,7.8,1.6,Dining,In-Person Chip,Visa,1,-0.559,0.436,0
18.83,13.9,30.8,Dining,Online POS,Visa,0,0.505,-0.06,0
40.86,9.0,3.7,Gas Station,In-Person Chip,Mastercard,1,-1.692,-0.378,0
20.07,12.9,68.0,Grocery,In-Person Chip,Mastercard,3,2.244,1.934,0
7.36,14.4,0.3,Dining,In-Person Chip,Discover,3,0.508,-1.534,0
114.94,13.7,82.5,Dining,In-Person Chip,Visa,2,-0.314,-0.624,0
76.81,11.1,9.5,Online Retail,In-Person Chip,Visa,2,1.148,-0.395,0
41.23,13.5,24.7,Grocery,In-Person Chip,Mastercard,1,0.627,1.661,0
15.26,11.3,2.9,Dining,ATM Cash,Visa,1,-0.982,0.972,0
55.65,17.6,11.7,Grocery,Online POS,Mastercard,3,-1.0,-0.361,0
21.17,6.4,11.1,Online Retail,Online POS,Visa,2,1.274,0.066,0
35.2,12.4,7.6,Online Retail,Online POS,Mastercard,2,-0.666,-0.037,0
9.51,10.2,9.1,Grocery,In-Person Chip,Discover,3,0.13,1.551,0
90.26,16.4,0.3,Gas Station,In-Person Chip,Mastercard,4,1.118,-0.022,0
4.42,18.6,0.1,Online Retail,In-Person Chip,Visa,2,-1.006,0.513,0
12.87,17.8,12.5,Gas Station,Contactless Tap,Mastercard,2,1.373,-0.046,0
17.44,15.9,0.6,Online Retail,In-Person Chip,Visa,1,0.605,-1.663,0
73.72,15.6,0.9,Electronics,Contactless Tap,Visa,2,-0.038,0.16,0
20.24,16.2,22.2,Electronics,In-Person Chip,Visa,3,-1.123,-2.237,0
23.17,14.3,18.5,Grocery,In-Person Chip,Mastercard,1,-0.692,-1.563,0
34.97,14.5,20.1,Grocery,In-Person Chip,Amex,1,1.46,0.667,0
20.08,20.4,11.1,Travel & Airlines,Contactless Tap,Visa,1,-0.703,0.292,0
30.33,11.4,1.3,Dining,In-Person Chip,Mastercard,2,0.794,0.738,0
38.4,15.5,9.1,ATM Withdrawal,In-Person Chip,Visa,3,-0.331,-0.23,0
69.37,9.5,2.9,Grocery,In-Person Chip,Visa,4,0.74,0.792,0
117.04,18.1,30.2,Dining,In-Person Chip,Visa,2,-0.412,-2.05,0
64.62,8.7,21.6,Grocery,In-Person Chip,Mastercard,0,-1.977,0.904,0
68.4,10.4,0.6,ATM Withdrawal,Contactless Tap,Mastercard,2,-1.733,0.125,0
29.93,19.8,14.7,Grocery,Online POS,Visa,1,0.589,-0.186,0
62.58,13.6,20.0,Online Retail,Online POS,Amex,1,-0.061,1.562,0
11.62,2.6,4.0,Grocery,Online POS,Mastercard,2,0.221,-0.238,0
41.47,14.3,5.5,Electronics,Online POS,Mastercard,0,1.053,0.138,0
35.76,16.0,6.3,Travel & Airlines,In-Person Chip,Visa,1,-0.971,-1.421,0
17.52,9.5,19.3,Dining,In-Person Chip,Visa,2,-0.034,-0.17,0
5.31,13.0,2.2,Online Retail,In-Person Chip,Visa,8,-1.268,3.117,1
79.11,19.1,14.6,Dining,Contactless Tap,Visa,1,0.119,-2.093,0
20.58,7.0,1.0,Online Retail,ATM Cash,Visa,5,0.991,-1.32,0
27.88,1.0,11.7,Electronics,In-Person Chip,Mastercard,1,1.366,0.708,0
31.07,12.3,10.2,Grocery,In-Person Chip,Visa,1,0.353,-0.484,0
51.78,9.7,1.0,Gas Station,Online POS,Visa,1,-1.609,1.799,0
55.57,11.8,4.0,Online Retail,In-Person Chip,Visa,1,2.103,0.145,0
58.4,10.5,2.2,Grocery,Contactless Tap,Visa,4,0.523,-0.583,0
63.21,18.5,0.5,Travel & Airlines,Online POS,Mastercard,2,0.834,1.005,0
2.62,0.4,1.6,Travel & Airlines,In-Person Chip,Visa,4,0.642,-0.885,0
48.07,4.3,1.0,ATM Withdrawal,In-Person Chip,Visa,1,2.094,-0.372,0
155.25,15.1,4.7,Gas Station,Online POS,Visa,1,0.775,1.9,0
15.65,8.3,33.5,Grocery,Contactless Tap,Visa,2,0.29,0.717,0
52.32,9.0,429.1,Online Retail,Online POS,Visa,13,-2.986,-1.994,1
103.61,14.4,18.1,Online Retail,In-Person Chip,Visa,1,0.536,-1.181,0
26.24,14.1,1.6,Grocery,Online POS,Visa,2,-0.495,-0.284,0
74.29,10.9,5.7,Grocery,Online POS,Mastercard,1,0.515,-0.909,0
91.46,13.4,3.3,Electronics,In-Person Chip,Visa,2,-0.086,1.025,0
92.95,11.4,30.7,Online Retail,In-Person Chip,Visa,2,-0.968,-0.806,0
76.42,7.7,11.7,Dining,Online POS,Mastercard,4,-0.237,0.349,0
16.84,23.3,4.6,Electronics,In-Person Chip,Visa,2,-0.246,1.168,0
62.94,10.1,11.7,Grocery,In-Person Chip,Mastercard,3,-1.409,0.428,0
102.49,13.7,6.9,Online Retail,Contactless Tap,Visa,1,-0.034,0.961,0
17.46,13.6,0.5,Grocery,Contactless Tap,Visa,2,-1.533,-2.088,0
26.33,18.7,2.0,Grocery,In-Person Chip,Amex,0,-0.213,-0.832,0
21.28,12.6,17.6,Luxury Goods,Contactless Tap,Visa,3,3.764,1.531,0
4.17,15.4,0.9,Dining,In-Person Chip,Mastercard,6,0.195,0.612,0
58.27,10.8,21.0,Dining,Contactless Tap,Mastercard,5,-0.917,-1.042,0
15.18,12.8,20.3,Dining,In-Person Chip,Visa,1,1.041,-0.234,0
8.38,17.1,16.5,Dining,Contactless Tap,Amex,3,0.408,1.475,0
19.61,19.9,17.1,Online Retail,Contactless Tap,Mastercard,1,-1.089,0.921,0
23.5,15.8,1.6,Dining,Contactless Tap,Amex,4,-1.009,-0.845,0
15.5,12.8,9.3,Online Retail,In-Person Chip,Visa,1,-0.654,0.578,0
24.52,8.1,1.6,Grocery,Online POS,Visa,2,1.84,-0.464,0
79.08,13.0,13.8,Grocery,In-Person Chip,Visa,4,-1.244,-0.008,0
37.08,9.4,16.8,Online Retail,ATM Cash,Mastercard,0,0.39,-1.313,0
59.05,13.1,8.1,Dining,In-Person Chip,Visa,4,2.005,1.364,0
96.1,22.8,4.0,Dining,In-Person Chip,Visa,0,-1.623,-0.332,0
62.92,13.4,2.8,Gas Station,Online POS,Visa,1,0.65,2.033,0
28.78,12.5,4.4,Online Retail,Online POS,Amex,4,-0.681,-0.68,0
29.17,13.6,25.6,Luxury Goods,In-Person Chip,Amex,2,-2.561,-0.545,0
41.9,16.7,10.1,Online Retail,In-Person Chip,Visa,2,-1.214,1.416,0
68.0,18.9,2.0,Grocery,In-Person Chip,Mastercard,4,-0.176,1.736,0
6.85,6.3,10.6,Gas Station,In-Person Chip,Visa,1,0.067,1.055,0
86.42,14.8,6.4,Gas Station,ATM Cash,Visa,6,1.126,0.624,0
26.46,12.8,43.6,Dining,ATM Cash,Amex,4,-0.802,-0.965,0
72.39,16.0,1.2,Gas Station,In-Person Chip,Discover,2,-1.72,-0.797,0
19.49,21.8,5.8,Dining,Contactless Tap,Visa,1,-1.714,-0.292,0
7.61,17.4,16.4,Online Retail,In-Person Chip,Mastercard,3,0.741,-0.057,0
65.46,13.0,7.5,Electronics,Online POS,Mastercard,3,-1.044,-1.071,0
78.77,14.6,2.8,Grocery,In-Person Chip,Visa,1,0.388,1.754,0
86.8,17.9,10.7,Online Retail,In-Person Chip,Mastercard,2,-1.169,-1.317,0
78.94,17.6,6.3,Grocery,Contactless Tap,Mastercard,1,1.625,-1.012,0
40.64,14.6,18.2,Grocery,In-Person Chip,Mastercard,2,-0.292,0.846,0
28.2,14.3,2.7,Online Retail,Online POS,Mastercard,3,-0.35,-0.112,0
24.49,18.6,19.3,Grocery,In-Person Chip,Mastercard,0,-1.276,0.156,0
29.69,14.3,1.6,Grocery,Online POS,Mastercard,1,0.578,0.332,0
72.28,14.0,1.4,Grocery,Online POS,Mastercard,4,-1.913,1.127,0
13.52,11.6,16.0,Online Retail,Online POS,Visa,2,0.975,-1.358,0
43.69,16.1,3.7,Dining,Online POS,Mastercard,2,0.083,-0.201,0
47.32,10.3,12.1,Electronics,In-Person Chip,Amex,4,-2.015,2.139,0
89.41,20.7,10.5,Gas Station,Online POS,Visa,4,-0.148,1.042,0
76.02,16.8,14.9,Electronics,Online POS,Mastercard,0,-1.156,1.223,0
130.71,8.4,16.9,Online Retail,Online POS,Visa,4,0.979,1.669,0
51.18,9.1,7.3,Gas Station,ATM Cash,Visa,2,0.971,-0.519,0
7.81,14.5,14.8,Dining,In-Person Chip,Visa,1,-0.649,-1.089,0
7.7,8.7,24.4,Luxury Goods,Contactless Tap,Amex,1,2.459,0.368,0
118.16,11.7,11.8,Electronics,Contactless Tap,Mastercard,0,2.06,0.838,0
36.93,13.6,16.2,Luxury Goods,Contactless Tap,Visa,1,1.563,0.307,0
51.96,10.9,17.4,Online Retail,Online POS,Mastercard,0,0.714,1.638,0
30.89,11.0,8.9,Travel & Airlines,Online POS,Mastercard,3,-0.574,-1.405,0
11.32,8.2,13.5,ATM Withdrawal,Online POS,Amex,2,-0.12,0.351,0
175.37,2.6,6.9,Online Retail,Online POS,Visa,5,-0.593,0.24,0
91.67,10.6,22.1,Online Retail,In-Person Chip,Visa,1,-0.051,1.696,0
40.12,14.5,0.7,Travel & Airlines,In-Person Chip,Amex,0,-1.608,2.175,0
44.47,12.4,13.7,ATM Withdrawal,Online POS,Mastercard,2,0.958,-1.272,0
22.84,0.6,0.3,Grocery,Contactless Tap,Mastercard,2,-0.161,0.759,0
17.88,16.4,11.6,Grocery,In-Person Chip,Amex,3,-1.37,-1.736,0
15.96,11.8,0.7,Dining,Contactless Tap,Visa,1,1.001,0.125,0
17.68,9.5,12.7,Dining,Online POS,Visa,2,-0.016,-0.099,0
19.79,19.3,14.6,Dining,Online POS,Amex,0,-0.851,-0.517,0
28.8,12.7,2.4,Online Retail,Online POS,Discover,1,-0.247,-0.27,0
24.92,16.6,1.0,Online Retail,In-Person Chip,Amex,4,0.663,0.446,0
25.25,17.8,29.3,Dining,Contactless Tap,Visa,1,0.227,-1.07,0
108.87,18.1,19.0,Grocery,In-Person Chip,Visa,1,0.425,0.117,0
61.25,11.8,11.4,Electronics,ATM Cash,Mastercard,2,2.621,2.112,0
32.21,15.5,12.4,Online Retail,ATM Cash,Mastercard,2,0.731,1.215,0
43.53,16.3,75.4,Grocery,ATM Cash,Visa,0,0.735,0.773,0
88.63,8.7,0.1,Grocery,In-Person Chip,Mastercard,4,-0.041,0.366,0
56.73,16.0,18.8,Dining,ATM Cash,Mastercard,1,0.504,-0.314,0
32.87,7.1,60.7,Electronics,Online POS,Visa,0,-1.543,0.634,0
56.87,14.8,20.6,Gas Station,In-Person Chip,Visa,0,0.545,-1.958,0
39.25,11.7,6.0,Grocery,In-Person Chip,Mastercard,1,-0.458,-0.045,0
51.21,19.9,17.4,Dining,In-Person Chip,Visa,3,0.5,0.36,0
79.37,13.7,5.4,Grocery,In-Person Chip,Visa,3,1.08,-1.57,0
15.29,15.9,6.8,Grocery,In-Person Chip,Visa,1,0.82,-0.043,0
24.54,2.4,1.9,Dining,In-Person Chip,Amex,4,0.304,-1.05,0
53.28,13.9,7.5,Dining,ATM Cash,Amex,3,-0.803,0.727,0
19.1,14.9,9.0,Electronics,In-Person Chip,Discover,1,1.887,-0.705,0
40.4,16.4,11.5,Luxury Goods,In-Person Chip,Amex,1,0.286,-0.689,0
84.43,19.9,1.4,Grocery,Contactless Tap,Visa,2,-0.779,2.189,0
15.28,7.6,8.9,Grocery,In-Person Chip,Visa,1,2.255,-1.037,0
12.98,20.3,11.1,Luxury Goods,Contactless Tap,Visa,2,0.63,0.071,0
20.27,11.4,0.0,Electronics,In-Person Chip,Mastercard,0,1.036,-1.938,0
73.26,20.0,0.3,Online Retail,Contactless Tap,Amex,2,-0.318,0.875,0
75.68,15.5,10.3,Grocery,ATM Cash,Mastercard,5,-1.077,0.713,0
16.02,12.1,5.7,Electronics,In-Person Chip,Mastercard,1,0.279,1.056,0
35.35,7.2,7.1,Grocery,In-Person Chip,Mastercard,1,0.047,-0.361,0
20.08,14.8,3.4,Dining,In-Person Chip,Visa,2,-0.383,-0.09,0
94.95,18.8,8.5,Electronics,Online POS,Amex,3,-0.091,-0.829,0
35.38,10.6,4.7,Grocery,In-Person Chip,Visa,2,-1.407,0.855,0
11.39,12.9,0.0,Luxury Goods,Contactless Tap,Discover,2,0.429,0.368,0
133.59,8.1,22.6,Grocery,In-Person Chip,Visa,1,0.065,-0.152,0
41.7,20.9,13.7,Dining,In-Person Chip,Mastercard,0,-0.525,0.975,0
139.4,9.5,4.9,Gas Station,In-Person Chip,Visa,0,0.415,-0.481,0
16.19,12.1,4.3,Luxury Goods,In-Person Chip,Mastercard,0,1.486,-1.157,0
9.86,11.2,2.9,Online Retail,In-Person Chip,Visa,2,2.346,-1.682,0
14.46,8.6,0.3,Gas Station,In-Person Chip,Discover,2,0.845,0.639,0
37.78,15.6,1.1,Gas Station,Online POS,Mastercard,3,-1.38,0.038,0
36.16,13.8,2.6,Gas Station,In-Person Chip,Visa,0,0.742,1.274,0
23.49,8.5,11.6,Dining,In-Person Chip,Mastercard,1,-0.049,-1.854,0
103.1,12.4,0.0,Online Retail,In-Person Chip,Mastercard,4,0.439,-1.214,0
88.6,19.3,11.8,Grocery,In-Person Chip,Visa,2,0.058,-0.49,0
48.41,11.2,4.7,Grocery,In-Person Chip,Amex,2,2.108,-1.929,0
14.59,17.7,8.9,Online Retail,In-Person Chip,Mastercard,3,-0.853,-0.146,0
17.3,13.9,13.1,Grocery,Contactless Tap,Discover,2,0.736,0.27,0
133.93,12.5,4.0,Dining,Online POS,Visa,1,-1.469,1.36,0
18.03,16.6,13.8,Dining,In-Person Chip,Visa,1,0.844,-0.075,0
73.43,10.8,7.6,Grocery,In-Person Chip,Mastercard,2,-0.949,0.357,0
29.82,13.7,10.4,Gas Station,In-Person Chip,Mastercard,2,-0.476,-0.682,0
127.58,14.5,12.5,Grocery,Online POS,Mastercard,2,0.411,-1.098,0
13.47,18.1,24.8,Grocery,In-Person Chip,Visa,3,-0.751,-0.096,0
4.97,12.7,10.4,Luxury Goods,Online POS,Mastercard,2,0.573,0.325,0
38.5,19.4,0.1,Luxury Goods,ATM Cash,Mastercard,1,-1.057,-0.553,0
46.26,23.5,0.3,Grocery,Contactless Tap,Mastercard,0,-0.07,0.096,0
90.7,13.4,30.8,Online Retail,In-Person Chip,Mastercard,1,-1.313,-0.032,0
11.88,5.4,5.9,ATM Withdrawal,Online POS,Visa,5,0.362,-0.813,0
53.92,19.7,3.3,Grocery,Online POS,Mastercard,2,-0.458,0.973,0
152.52,13.4,26.5,Grocery,In-Person Chip,Mastercard,3,-0.636,-0.107,0
102.57,13.6,13.2,Gas Station,In-Person Chip,Visa,1,1.659,-0.116,0
93.25,12.3,24.0,Grocery,In-Person Chip,Discover,1,-0.681,0.392,0
17.78,11.5,26.2,Gas Station,In-Person Chip,Visa,4,2.241,0.404,0
8.37,12.0,14.2,Dining,In-Person Chip,Visa,4,-1.245,0.254,0
102.1,15.0,0.9,Luxury Goods,Contactless Tap,Mastercard,1,-0.639,-2.298,0
10.76,18.0,36.3,Grocery,Online POS,Visa,3,-1.537,0.192,0
26.48,14.9,17.4,Grocery,Contactless Tap,Amex,0,0.65,0.568,0
34.04,23.2,15.6,Grocery,Online POS,Amex,3,0.933,1.653,0
94.96,19.1,2.6,Grocery,In-Person Chip,Mastercard,1,0.34,1.163,0
37.61,8.5,4.0,Dining,Online POS,Visa,2,-0.15,0.622,0
56.93,13.5,4.3,Dining,Online POS,Discover,3,0.353,0.069,0
20.02,10.6,42.7,Online Retail,Contactless Tap,Mastercard,2,-0.082,-0.852,0
11.61,20.6,14.0,Online Retail,In-Person Chip,Visa,0,-0.3,1.757,0
17.02,10.6,10.6,Grocery,In-Person Chip,Mastercard,1,1.319,-1.023,0
83.57,11.4,23.0,Online Retail,In-Person Chip,Visa,2,-0.092,-0.544,0
26.76,16.0,32.5,Online Retail,ATM Cash,Amex,1,-0.289,-0.277,0
53.49,15.0,8.9,Online Retail,ATM Cash,Visa,2,0.238,-1.583,0
277.55,9.0,28.3,Dining,ATM Cash,Visa,2,-1.412,-0.421,0
86.68,5.9,10.2,Grocery,In-Person Chip,Amex,1,-2.104,0.413,0
30.23,8.5,4.5,Grocery,In-Person Chip,Visa,0,-2.556,0.635,0
72.31,12.0,0.7,Dining,In-Person Chip,Visa,1,-1.093,1.399,0
75.35,15.8,1.0,Online Retail,In-Person Chip,Mastercard,1,1.548,-0.506,0
1.77,11.0,178.6,Luxury Goods,Online POS,Visa,6,-0.449,1.118,1
37.23,19.1,15.4,Online Retail,In-Person Chip,Mastercard,3,-1.591,-1.78,0
11.3,7.8,8.2,Travel & Airlines,Contactless Tap,Mastercard,2,0.052,-1.744,0
1089.1,8.1,8.5,Dining,Online POS,Visa,0,1.349,1.427,0
156.38,21.5,14.8,Gas Station,Online POS,Mastercard,0,2.517,-2.836,0
32.73,13.5,10.5,Online Retail,Online POS,Amex,1,2.459,-0.712,0
80.04,14.5,16.2,Grocery,Contactless Tap,Visa,4,-0.766,-1.841,0
4.5,18.8,3.2,Dining,In-Person Chip,Mastercard,1,2.366,0.565,0
21.13,18.2,8.6,Grocery,Contactless Tap,Visa,1,-1.314,1.642,0
137.68,9.7,6.8,Electronics,In-Person Chip,Visa,2,0.291,1.025,0
28.9,13.7,18.6,Grocery,Online POS,Visa,0,0.198,0.823,0
112.05,5.1,15.6,Grocery,Contactless Tap,Discover,0,1.143,-0.192,0
16.0,12.5,22.1,Online Retail,Contactless Tap,Amex,2,-0.718,1.636,0
6.82,19.5,2.1,Online Retail,ATM Cash,Visa,5,1.679,-0.193,0
99.27,10.3,6.1,Gas Station,In-Person Chip,Mastercard,3,0.132,0.742,0
49.3,14.7,21.0,Grocery,Contactless Tap,Visa,1,1.812,-0.3,0
125.38,11.9,2.7,Dining,ATM Cash,Visa,0,-1.634,1.326,0
37.78,8.9,14.0,Online Retail,ATM Cash,Mastercard,2,1.496,0.478,0
36.05,15.1,2.6,Dining,Online POS,Mastercard,1,0.477,-0.463,0
60.27,16.8,2.4,Grocery,In-Person Chip,Visa,1,-2.473,0.552,0
103.78,13.3,26.3,Grocery,Contactless Tap,Amex,2,0.626,-0.158,0
89.2,12.1,9.0,Dining,ATM Cash,Mastercard,1,0.344,0.506,0
11.64,15.1,2.9,Online Retail,In-Person Chip,Visa,3,1.13,-1.312,0
19.93,8.9,14.7,Grocery,ATM Cash,Mastercard,1,0.128,1.863,0
108.48,19.1,5.4,Dining,Contactless Tap,Visa,1,-0.165,0.952,0
96.43,13.1,45.0,Online Retail,In-Person Chip,Discover,2,1.663,-0.489,0
60.5,13.6,0.1,ATM Withdrawal,Contactless Tap,Visa,0,-0.648,1.515,0
69.7,10.0,3.9,Online Retail,Online POS,Visa,4,2.199,0.151,0
114.15,13.9,44.9,Grocery,In-Person Chip,Mastercard,3,-0.436,0.427,0
245.47,8.1,1.9,Gas Station,Online POS,Visa,2,1.506,-1.053,0
125.87,17.4,14.2,Electronics,In-Person Chip,Visa,2,0.838,2.124,0
41.66,12.8,14.6,ATM Withdrawal,Contactless Tap,Mastercard,2,0.264,-0.977,0
20.1,14.2,7.0,Electronics,Online POS,Visa,1,0.657,0.827,0
44.17,14.5,68.2,Dining,Online POS,Visa,1,0.074,1.124,0
76.69,18.7,16.3,Electronics,Online POS,Visa,3,-0.634,0.133,0
8.49,12.1,4.7,Gas Station,ATM Cash,Visa,1,-0.272,-0.28,0
65.54,15.9,39.1,Grocery,In-Person Chip,Visa,2,0.592,0.712,0
42.05,18.2,0.1,Online Retail,Online POS,Visa,2,0.953,-0.052,0
33.08,12.2,5.5,Gas Station,In-Person Chip,Mastercard,1,-0.449,1.294,0
69.75,15.8,5.7,Dining,In-Person Chip,Amex,2,-1.283,-1.877,0
27.9,15.0,5.4,Dining,ATM Cash,Amex,3,0.447,-1.058,0
170.15,14.7,25.1,Grocery,Contactless Tap,Amex,1,1.166,1.731,0
34.09,11.6,1.2,Online Retail,ATM Cash,Visa,4,-0.687,0.643,0
194.62,15.1,4.2,Gas Station,In-Person Chip,Visa,3,-0.172,0.429,0
44.01,21.2,12.5,Dining,Online POS,Visa,5,1.921,-2.722,0
20.45,8.8,8.3,Online Retail,Contactless Tap,Mastercard,1,0.549,-0.792,0
37.66,8.3,2.3,Online Retail,Online POS,Amex,3,1.308,0.941,0
30.68,11.0,17.7,Dining,Online POS,Visa,2,-1.28,0.771,0
154.91,14.0,50.2,Grocery,ATM Cash,Visa,0,0.337,-1.747,0
25.12,11.4,29.6,Grocery,In-Person Chip,Visa,3,0.843,0.326,0
21.76,7.7,14.5,Online Retail,Contactless Tap,Visa,2,-0.126,-0.403,0
346.52,8.0,22.4,Travel & Airlines,Online POS,Mastercard,3,-1.08,2.407,1
24.25,15.4,5.3,Dining,Online POS,Visa,2,1.175,0.369,0
28.3,15.3,3.6,Electronics,Contactless Tap,Visa,1,-1.124,-0.172,0
109.08,10.9,1.9,Luxury Goods,In-Person Chip,Visa,2,1.421,-2.515,0
19.87,15.9,46.4,Grocery,Contactless Tap,Amex,0,-1.257,-0.894,0
17.44,16.0,20.3,Electronics,Online POS,Mastercard,4,-1.92,1.434,0
191.19,10.9,8.6,Dining,Online POS,Amex,1,-1.054,2.36,0
243.65,11.3,32.5,Online Retail,Online POS,Mastercard,2,-0.349,-0.474,0
66.38,14.3,0.5,Grocery,In-Person Chip,Visa,2,0.243,1.158,0
168.69,11.4,6.9,Gas Station,In-Person Chip,Mastercard,3,2.072,-0.671,0
156.73,15.8,2.4,Online Retail,Contactless Tap,Visa,3,-0.666,1.351,0
13.1,19.2,4.6,Grocery,Contactless Tap,Mastercard,3,-1.95,-0.511,0
104.18,7.4,5.3,Online Retail,Online POS,Mastercard,1,-0.004,-0.925,0
37.72,14.5,12.9,Grocery,In-Person Chip,Amex,0,-1.157,-1.159,0
89.38,12.0,22.9,Dining,Online POS,Mastercard,1,2.635,-0.963,0
50.49,15.0,20.2,Travel & Airlines,Contactless Tap,Mastercard,1,-0.18,-0.955,0
61.85,22.9,1.5,Grocery,Online POS,Visa,0,0.171,0.122,0
27.96,1.6,9.5,Grocery,Online POS,Visa,0,-0.328,0.339,0
118.85,9.8,4.5,Online Retail,Contactless Tap,Mastercard,1,0.373,-0.706,0
24.26,10.1,67.7,Dining,Contactless Tap,Visa,0,-0.601,-0.686,0
22.41,10.9,6.5,Dining,Online POS,Amex,2,1.86,-1.028,0
21.91,18.0,20.3,Dining,In-Person Chip,Mastercard,0,0.828,0.68,0
14.88,14.4,9.9,Grocery,In-Person Chip,Discover,2,-1.892,0.773,0
107.71,15.7,43.8,Dining,Contactless Tap,Mastercard,2,-1.915,0.042,0
38.47,18.9,46.9,Grocery,In-Person Chip,Visa,1,-1.661,0.302,0
32.32,18.5,3.4,Grocery,In-Person Chip,Mastercard,5,-0.099,1.449,0
95.56,16.6,0.4,Gas Station,Online POS,Amex,1,2.018,1.767,0
20.54,17.6,24.7,Luxury Goods,Online POS,Amex,2,-1.03,-1.441,0
55.01,12.8,11.9,Online Retail,In-Person Chip,Visa,0,1.259,-1.693,0
84.14,15.0,18.1,Dining,In-Person Chip,Visa,3,0.712,-0.379,0
169.73,15.2,9.5,Travel & Airlines,Online POS,Amex,1,0.186,-0.457,0
75.27,17.2,4.2,ATM Withdrawal,In-Person Chip,Visa,4,0.432,-1.094,0
39.31,10.3,27.4,Dining,Online POS,Mastercard,1,1.127,-1.045,0
132.32,17.0,8.7,Online Retail,Contactless Tap,Visa,1,0.705,-0.64,0
184.43,23.0,117.5,Electronics,Online POS,Visa,6,1.101,-0.202,1
42.56,14.1,8.1,Dining,Online POS,Mastercard,5,0.745,-0.847,0
14.27,19.2,1.7,Electronics,In-Person Chip,Visa,2,-1.301,-0.988,0
54.1,18.7,12.3,Gas Station,Online POS,Visa,1,-0.54,0.236,0
37.51,14.7,6.4,Online Retail,Contactless Tap,Amex,4,-0.803,-0.853,0
69.43,17.8,8.5,Grocery,In-Person Chip,Mastercard,1,0.96,0.522,0
344.49,10.9,4.8,Grocery,In-Person Chip,Visa,3,1.042,-0.507,0
50.7,20.7,13.7,Gas Station,Contactless Tap,Amex,3,-1.352,-0.779,0
13.69,16.8,9.3,Dining,In-Person Chip,Visa,4,-0.075,0.814,0
14.52,23.5,11.3,Online Retail,In-Person Chip,Visa,2,-0.426,0.004,0
14.51,5.1,0.3,Grocery,In-Person Chip,Mastercard,0,-1.251,1.817,0
144.29,8.6,23.9,ATM Withdrawal,In-Person Chip,Mastercard,3,-0.016,1.767,0
49.76,12.0,6.7,Grocery,In-Person Chip,Mastercard,1,-0.636,1.555,0
60.79,16.8,5.2,Electronics,Online POS,Mastercard,1,1.009,0.146,0
74.76,18.9,5.0,Gas Station,In-Person Chip,Mastercard,1,-0.116,0.635,0
91.8,14.9,6.6,Online Retail,Online POS,Visa,1,0.57,-0.566,0
10.77,10.0,3.6,Dining,Contactless Tap,Mastercard,0,-1.199,-0.612,0
92.1,16.0,0.7,ATM Withdrawal,In-Person Chip,Visa,5,-2.103,-1.033,0
88.84,13.0,10.9,Luxury Goods,In-Person Chip,Visa,3,-0.094,0.315,0
58.47,15.5,13.1,Travel & Airlines,In-Person Chip,Mastercard,1,-0.506,0.377,0
10.18,19.8,23.9,Grocery,Contactless Tap,Visa,3,1.507,-0.524,0
67.59,7.6,1.3,Online Retail,In-Person Chip,Visa,0,-0.392,0.073,0
14.99,16.2,12.9,Online Retail,In-Person Chip,Visa,1,1.572,1.211,0
24.33,9.7,2.9,Luxury Goods,Contactless Tap,Visa,1,-0.424,0.736,0
4.48,13.3,19.1,Grocery,In-Person Chip,Visa,1,1.225,0.198,0
40.48,11.4,16.0,Dining,In-Person Chip,Visa,1,0.053,0.499,0
23.26,1.6,27.0,Travel & Airlines,Online POS,Mastercard,0,-0.456,-0.588,0
27.34,21.6,22.2,Online Retail,Online POS,Visa,5,1.595,0.043,0
23.89,16.6,1.4,Online Retail,In-Person Chip,Mastercard,2,0.389,-1.364,0
33.12,19.7,3.2,Grocery,Contactless Tap,Discover,3,-1.732,0.471,0
93.66,11.8,1.4,Gas Station,ATM Cash,Amex,1,0.11,0.374,0
14.25,15.7,7.8,Dining,Online POS,Visa,0,0.137,-0.396,0
10.78,17.8,5.0,ATM Withdrawal,In-Person Chip,Mastercard,0,2.375,-1.269,0
51.11,7.2,2.0,Online Retail,ATM Cash,Visa,2,-1.936,-0.49,0
13.97,18.7,5.1,ATM Withdrawal,Contactless Tap,Amex,1,-0.427,-0.781,0
20.23,13.3,1.2,Gas Station,In-Person Chip,Amex,0,0.214,1.769,0
39.84,8.4,75.5,Online Retail,In-Person Chip,Visa,3,0.956,-1.468,0
